domain,sample_id,true_label,band,typicality,source,source_tier,label_mismatch,agreement,n_methods,lf_sim_pred,lf_sim_correct,lf_sim_faithful,lf_onom_pred,lf_onom_correct,lf_onom_faithful,fused_sim_pred,fused_sim_correct,fused_sim_faithful,fused_onom_pred,fused_onom_correct,fused_onom_faithful,rexnet_pred,rexnet_correct,proto_pred,proto_correct,audio,sample_path,annot_quality_ok,annot_label_agrees,annot_best_explanation,annot_notes
lung,sprsound_40985693_3.4_0_p2_8627_2,Crackle,ambiguous,-2.235,sprsound,1,False,0,93,Normal,False,0.0,Normal,False,0.0,Normal,False,0.0,Normal,False,0.0,Normal,False,Normal,False,https://simile-xai-audio.s3.ap-southeast-2.amazonaws.com/data_v6/lung/audio/sprsound_40985693_3.4_0_p2_8627_2.wav,data/processed/UnifiedLungSymptomDataset/audio/sprsound_40985693_3.4_0_p2_8627_2.wav,,,,
lung,hflung_steth_20190809_12_03_44_22,Crackle,ambiguous,-2.1808,hflung,3,True,0,93,Wheeze,False,0.0,Wheeze,False,0.0,Wheeze,False,0.0,Wheeze,False,0.0,Wheeze,False,Wheeze,False,https://simile-xai-audio.s3.ap-southeast-2.amazonaws.com/data_v6/lung/audio/hflung_steth_20190809_12_03_44_22.wav,data/processed/UnifiedLungSymptomDataset/audio/hflung_steth_20190809_12_03_44_22.wav,,,,
lung,icbhi_180_1b4_Ar_mc_AKGC417L_5,Crackle,ambiguous,-2.1696,icbhi,1,False,0,93,Wheeze,False,0.0,Wheeze,False,0.0,Wheeze,False,0.0,Wheeze,False,0.0,Wheeze,False,Wheeze,False,https://simile-xai-audio.s3.ap-southeast-2.amazonaws.com/data_v6/lung/audio/icbhi_180_1b4_Ar_mc_AKGC417L_5.wav,data/processed/UnifiedLungSymptomDataset/audio/icbhi_180_1b4_Ar_mc_AKGC417L_5.wav,,,,
lung,fraiwan_2,Crackle,ambiguous,-1.5399,fraiwan,2,True,14,93,Normal,False,0.8,Crackle,True,0.0,Crackle,True,0.6,Crackle,True,0.4,Normal,False,Normal,False,https://simile-xai-audio.s3.ap-southeast-2.amazonaws.com/data_v6/lung/audio/fraiwan_2.wav,data/processed/UnifiedLungSymptomDataset/audio/fraiwan_2.wav,,,,
lung,sprsound_40985693_3.4_0_p2_8627_3,Crackle,ambiguous,-2.2095,sprsound,1,False,1,93,Normal,False,0.2,Normal,False,0.0,Normal,False,0.0,Normal,False,0.0,Normal,False,Normal,False,https://simile-xai-audio.s3.ap-southeast-2.amazonaws.com/data_v6/lung/audio/sprsound_40985693_3.4_0_p2_8627_3.wav,data/processed/UnifiedLungSymptomDataset/audio/sprsound_40985693_3.4_0_p2_8627_3.wav,,,,
lung,hflung_steth_20190711_13_43_08_1,Crackle,ambiguous,-2.1071,hflung,3,True,0,93,Wheeze,False,0.0,Wheeze,False,0.0,Wheeze,False,0.0,Wheeze,False,0.0,Wheeze,False,Stridor,False,https://simile-xai-audio.s3.ap-southeast-2.amazonaws.com/data_v6/lung/audio/hflung_steth_20190711_13_43_08_1.wav,data/processed/UnifiedLungSymptomDataset/audio/hflung_steth_20190711_13_43_08_1.wav,,,,
lung,icbhi_156_8b3_Ar_mc_AKGC417L_0,Crackle,ambiguous,-2.165,icbhi,1,False,0,93,Normal,False,0.0,Normal,False,0.0,Normal,False,0.2,Normal,False,0.2,Normal,False,Normal,False,https://simile-xai-audio.s3.ap-southeast-2.amazonaws.com/data_v6/lung/audio/icbhi_156_8b3_Ar_mc_AKGC417L_0.wav,data/processed/UnifiedLungSymptomDataset/audio/icbhi_156_8b3_Ar_mc_AKGC417L_0.wav,,,,
lung,fraiwan_287,Crackle,ambiguous,-1.3876,fraiwan,2,True,79,93,Crackle,True,0.4,Crackle,True,1.0,Crackle,True,0.4,Crackle,True,0.4,Crackle,True,Crackle,True,https://simile-xai-audio.s3.ap-southeast-2.amazonaws.com/data_v6/lung/audio/fraiwan_287.wav,data/processed/UnifiedLungSymptomDataset/audio/fraiwan_287.wav,,,,
lung,sprsound_40985693_3.4_0_p2_8627_1,Crackle,ambiguous,-2.1921,sprsound,1,False,7,93,Normal,False,0.2,Normal,False,0.0,Normal,False,0.0,Normal,False,0.0,Crackle,True,Normal,False,https://simile-xai-audio.s3.ap-southeast-2.amazonaws.com/data_v6/lung/audio/sprsound_40985693_3.4_0_p2_8627_1.wav,data/processed/UnifiedLungSymptomDataset/audio/sprsound_40985693_3.4_0_p2_8627_1.wav,,,,
lung,hflung_steth_20190711_13_43_08_7,Crackle,ambiguous,-2.0188,hflung,3,True,1,93,Wheeze,False,0.0,Stridor,False,0.0,Wheeze,False,0.0,Wheeze,False,0.0,Crackle,True,Wheeze,False,https://simile-xai-audio.s3.ap-southeast-2.amazonaws.com/data_v6/lung/audio/hflung_steth_20190711_13_43_08_7.wav,data/processed/UnifiedLungSymptomDataset/audio/hflung_steth_20190711_13_43_08_7.wav,,,,
